id,en,vi,wordClass
718,strike,"đánh,đập,bãi công",v
719,strike,"cuộc bãi công,cuộc đình công",n
720,thick,dày,adj
721,human,"con người,loài người",adj
722,force,sức mạnh,n
723,force,"ép buộc,cưỡng ép",v
724,post office,bưu điện,n
725,argue,"chứng tỏ,chỉ rõ",v
726,some,"pro một it,một vài",n
727,message,"tin nhắn,thư tín,điện thông báo",n
728,tonne,tấn,n
729,transport,"sự vận chuyển,sự vận tải",v
730,transport,"chuyên chở,phương tiện đi lại",n
731,response,"sự trả lời,câu trả lời,sự hưởng ứng",n
732,prisoner,tù nhân,n
733,clap,"vỗ,vỗ tay",v
734,clap,"tiếng nổ,tiếng vỗ tay",n
735,imaginary,"tưởng tượng,ảo",adj
736,affect,"làm ảnh hưởng,tác động đến",v
737,particular,"riêng biệt,cá biệt",adj
738,attached,gắn bó,adj
739,delicate,"thanh nhã,thanh tú,tế nhị",adj
740,anything,"pro việc gì,vật gì",n
741,letter,thư,n
742,crush,"ép,vắt,đè nát",v
743,badly,"xấu,tồi",adv
744,domestic,"vật nuôi trong nhà,nội trợ",adj
745,bound,"nhất định,chắc chắn",+to
746,international,quốc tế,adj
747,individual,"riêng,riêng biệt",adj
748,individual,cá nhân,n
749,fairly,"hợp lý,công bằng",adv
750,assure,"đảm bảo,cam đoan",v
751,seed,"hạt,hạt giống",n
752,useful,"hữu ích,giúp ích",adj
753,teach,dạy,v
754,minister,bộ trưởng,n
755,definition,"sự định nghĩa,lời định nghĩa",n
756,well,"tốt,giỏi",adv
757,well,"ôi,may quá!",adj
758,minimum,tối thiểu,adj
759,minimum,"số lượng tối thiểu,mức tối thiểu",n
760,onto,"về phía trên,lên trên",prep
761,root,"gốc,rễ",n
762,perform,biểu diễn,v
763,noisily,"ồn ào,huyên náo",adv
764,harmful,"gây tai hại,có hại",adj
765,bar,quán bán rượu,n
766,professional,"nghề,nghề nghiệp",adj
767,professional,chuyên nghiệp,n
768,qualify,"đủ khả năng,đủ tư cách",v
769,spend,"tiêu,xài",v
770,organized,"có trật tự,ngăn nắp,được sắp xếp",adj
771,promptly,"mau lẹ,ngay lập tức",adv
772,medium,"trung bình,trung",adj
773,medium,"sự trung gian,sự môi giới",n
774,mass,"khối,khối lượng",n
775,mass,"quần chúng,đại chúng",adj
776,poetry,thi ca,n
777,comment,"lời bình luận,lời chú giải",n
778,comment,"bình luận,phê bình,chú thích",v
779,weekly,"mỗi tuần một lần,hàng tuần",adj
780,manufacture,"sự chế tạo,sự sản xuất,chế tạo",v
781,flesh,thịt,n
782,recently,"gần đây,mới đây",adv
783,basis,"nền tảng,cơ sở",n
784,magazine,tạp chí,n
785,bottom,"phần dưới cùng,thấp nhất",n
786,bottom,"cuối,cuối cùng",adj
787,detail,chi tiết,n
788,patient,bệnh nhân,n
789,patient,"kiên nhẫn,nhẫn nại",adj
790,criticize,"phê bình,phê phán",v
791,bad-tempered,"xấu tính,dễ nổi cáu",adj
792,sure,"chắc chắn,xác thực",adj
793,current,"hiện hành,phổ biến",adj
794,current,"dòng,luồng",n
795,friendship,"tình bạn,tình hữu nghị",n
796,burnt,"bị đốt,bị cháy",adj
798,underground,"dưới mặt đất,ngầm dưới đất",adj
799,underground,ngầm,adv
800,discount,"sự bớt giá,sự chiết khấu,tiền bớt",n
801,language,ngôn ngữ,n
802,environmental,thuộc về môi trường,adj
803,with,"với,cùng",prep
804,maybe,"có thể,có lẽ",adv
805,behaviour,"cách đối xử,cách ăn ở",n
806,entire,"toàn thể,toàn bộ",adj
807,strip,"cởi,lột",v
808,strip,sự cởi quần áo,n
810,previous,"trước",adv
811,running,"sự chạy,cuộc chạy đua",n
812,sex,"giới,giống",n
813,camping,sự cắm trại,n
814,outer,"ở phía ngoài,ở xa hơn",adj
815,ugly,"xấu xí,xấu xa",adj
816,grand,"rộng lớn,vĩ đại",adj
817,cracked,"rạn,nứt",adj
818,soap,xà phòng,n
819,independent,độc lập,adj
820,grandchild,cháu,n
821,conclusion,"sự kết thúc,sự kết luận",n
822,interview,"cuộc phỏng vấn,sự gặp mặt",n
823,interview,"phỏng vấn,nói chuyện riêng",v
824,excite,"kích thích,kích động",v
825,coldly,"lạnh nhạt,hờ hững",adv
826,daily,hàng ngày,adj
827,rise,"sự lên,sự tăng lương",n
828,rise,"dậy,đứng lên,mọc",v
829,latest,"muộn nhất,chậm nhất",adj
830,performer,"người biểu diễn,người trình diễn",n
831,ministry,bộ,n
832,heavy,"nặng,nặng nề",adj
833,adopt,"nhận làm con nuôi,bố mẹ nuôi",v
834,dancing,"sự nhảy múa,sự khiêu vũ",n
835,surprising,"làm ngạc nhiên,làm bất ngờ",adj
836,shooting,"sự bắn,sự phóng đi",n
837,chain,"dây,xích",n
838,chain,"xính lại,trói lại",v
839,musician,nhạc sĩ,n
840,mountain,núi,n
841,material,nguyên vật liệu,n
842,material,"vật chất,hữu hình",adj
843,continent,"lục địa,đại lục",n
844,satisfied,"cảm thấy hài lòng,vừa ý",adj
845,distance,"khoảng cách,tầm xa",n
846,confine,"giam giữ,hạn chế",v
847,unsteady,"không đúng mực,không chắc",adj
848,guest,"khách,khách mời",n
849,worrying,"gây lo lắng,gây lo nghĩ",adj
850,satisfying,"đem lại sự thỏa mãn,làm thỏa mãn",adj
851,solve,"giải,giải thích",v
852,neatly,"gọn gàng,ngăn nắp",adv
853,unwilling,không muốn làm điều gì,adj
854,feeling,"sự cảm thấy,cảm giác",n
855,high,"cao,ở mức độ cao",adj
856,disagreement,"sự bất đồng,sự không đồng ý",n
857,hungry,đói,adj
858,thickly,dày,adv
859,wait,chờ đợi,v
860,mere,chỉ là,adj
861,competitive,"cạnh tranh,đua tranh",adj
862,riding,"môn thể thao cưỡi ngựa,sự đi xe",n
863,global,"v toàn cầu,toàn thể",adj
864,faintly,"nhút nhát,yếu ớt",adv
865,consumer,người tiêu dùng,n
866,wage,"tiền lương,tiền công",n
867,yawn,há miệng,v
868,yawn,cử chỉ ngáp,n
869,directly,"trực tiếp,thẳng",adv
870,crack,"cừ,xuất sắc",n
871,crack,"làm nứt,làm vỡ,nứt nẻ",v
872,monitor,"lớp trưởng,màn hình máy tính",n
873,monitor,"nghe,ghi phát thanh",v
874,land,"đất,đất canh tác",n
875,sweep,quét,v
876,melt,"tan ra,chảy ra",v
877,easy,"dễ dàng,dễ tính",adj
878,unconscious,"bất tỉnh,không có ý thức",adj
879,expensive,đắt,adj
880,underneath,"dưới,bên dưới",prep
881,tool,"dụng cụ,đồ dùng",n
882,bother,"làm phiền,quấy rầy",v
883,private,"cá nhân,riêng",adj
884,die,"chết,từ trần",v
885,organize,"tổ chức,thiết lập",v
886,expand,"mở rộng,phát triển,nở",v
887,wildly,"dại,hoang",adv
888,thing,"cái,đồ",n
889,anticipate,"thấy trước,chặn trước",v
890,passage,"sự đi qua,sự trôi qua",n
891,absolute,"tuyệt đối,hoàn toàn",adj
892,consist of,gồm có,v
893,concept,khái niệm,n
894,majority,"phần lớn,đa số",n
895,book,sách,n
896,book,ghi chép,v
897,gradually,"dần dần,từ từ",adv
898,criterion,tiêu chuẩn,n
899,crazy,"điên,mất trí",adj
900,chin,cằm,n
901,sensible,có óc xét đoán,adj
902,dare,"dám,dám đương đầu với",v
903,concentrate,tập trung,v
904,elevator,"máy nâng,thang máy",n
905,article,"bài báo,đề mục",n
906,probably,hầu như chắc chắn,adv
907,lazy,lười biếng,adj
908,regional,"vùng,địa phương",adj
909,yellow,vàng,adj
910,yellow,màu vàng,n
911,hip,hông,n
912,steeply,"dốc,cheo leo",adv
913,hospital,"bệnh viện,nhà thương",n
914,soft,"mềm,dẻo",adj
915,wound,"vết thương,thương tích",v
916,wound,"làm bị thường,gây thương tích",n
917,arise,"xuất hiện,nảy ra",v
918,advance,"sự tiến bộ,tiến lên",n
919,advance,"đưa lên,đề xuất",v
920,freeze,"đóng băng,đông lạnh",v
921,settle,"giải quyết,dàn xếp,hòa giải",v
922,under,"dưới,ở dưới",adv
923,league,"liên minh,liên hoàn",n
924,handle,"cầm,sờ mó",v
925,handle,"tay cầm,móc quai",n
926,pool,vũng nước,n
927,adequate,"đầy,đầy đủ",adj
928,decline,"sự suy tàn,sự suy sụp",n
929,decline,"suy sụp,suy tàn",v
930,alone,"cô đơn,một mình",adj
931,actress,diễn viên nữ,n
932,cost,"giá,chi phí",n
933,cost,"trả giá,phải trả",v
934,earth,"đất,trái đất",n
935,different,"khác,khác biệt",adj
936,intelligent,"thông minh,sáng trí",adj
937,value,"giá trị,ước tính",n
938,panel,"ván ô,pa nô",n
939,formalize,"nghi thức hóa,trang trọng hóa",v
940,support,"sự chống đỡ,sự ủng hộ",n
941,support,"chống đỡ,ủng hộ",v
942,host,"chủ nhà,chủ tiệc",n
943,host,"dẫn,đăng cai tổ chức",v
944,route,"đường đi,lộ trình",n
945,appropriate,"thích hợp,thích đáng",+to/for
946,year,năm,n
947,flood,"lụt,lũ lụt",n
948,flood,"tràn đầy,tràn ngập",v
949,curve,"đường cong,đường vòng",n
950,curve,"cong,uốn cong",v
951,credit,"sự tin,lòng tin",n
952,category,"hạng,loại",n
953,arrangement,"sự sắp xếp,sắp đặt",n
954,whereas,"nhưng ngược lại,trong khi",conj
955,cheap,rẻ,adj
956,string,"dây,sợi dây",n
957,irritated,"tức giận,cáu tiết",adj
958,sometimes,"thỉnh thoảng,đôi khi",adv
959,examination,"sự thi cử,kỳ thi",n
960,bag,"bao,túi",n
961,amusing,"vui,làm cho buồn cười",adj
962,whether,có..không,conj
963,positive,"xác thực,rõ ràng,tích cực",adj
964,jointly,"cùng nhau,cùng chung",adv
965,actor,diễn viên nam,n
966,pill,viên thuốc,n
967,unusual,"hiếm,khác thường",adj
968,distinguish,"phân biệt,nhận ra",v
969,index,"chỉ số,sự biểu thị",n
970,authority,"uy quyền,quyền lực",n
971,consult,"tra cứu,tham khảo,thăm dò",v
972,appeal,"sự kêu gọi,lời kêu gọi",n
973,appeal,"kêu gọi,cầu khẩn",v
974,issue,"sự phát ra,sự phát sinh",n
975,issue,"phát hành,đưa ra",v
976,commercial,"buôn bán,thương mại",adj
977,teaching,"sự dạy,công việc dạy học",n
978,strongly,"khỏe,chắc chắn",adv
979,pattern,"mẫu,khuôn mẫu",n
980,nail,móng móng vuốt,n
981,weather,thời tiết,n
982,column,"cột,mục",n
983,twist,"xoắn,cuộn",v
984,twist,"sự xoắn,vòng xoắn",n
985,confidently,tự tin,adv
986,taste,"vị,vị giác",n
987,taste,nếm,v
988,striped,"có sọc,có vằn",adj
989,please,"làm vui lòng,vừa lòng,mong... vui lòng",v
990,hobby,sở thích riêng,n
991,premises,biệt thự,n
992,fashion,"mốt,thời trang",n
993,working,"sự làm,sự làm việc",adj
994,custom,"phong tục,tục lệ,thói quen",n
995,fellow,"anh chàng,đồng chí",n
996,involve,"bao gồm,bao hàm",v
997,poisonous,"độc,có chất độc,gây chết",adj
998,wing,"cánh,sự bay",n
999,rightly,"đúng,phải",adv
1000,organ,đàn óoc gan,n
1001,period,"kỳ,thời kỳ",n
1002,rescue,"giải thoát,cứu nguy",v
1003,rescue,"sự giải thoát,sự cứu nguy",n
1004,swim,bơi lội,v
1005,belong,"thuộc về,của",v
1006,themselves,"pro tự chúng,tự họ",n
1007,motorcycle,xe mô tô,n
1008,deeply,"sâu,sâu xa",adv
1009,explosion,"sự nổ,sự phát triển ồ ạt",n
1010,bathroom,"buồng tắm,nhà vệ sinh",n
1011,unlikely,"không thể xảy ra,không chắc xảy ra",adj
1012,passing,"sự đi qua,sự trôi qua",n
1013,passing,"thoáng qua,ngắn ngủi",adj
1014,round,"tròn,vòng quanh",adj
1015,initiative,"bước đầu,sự khởi đầu",n
1016,outstanding,"nổi bật,đáng chú ý",adj
1017,life,"đời,sự sống",n
1018,reserve,"dự trữ,để dành,đặt trước",v
1019,reserve,"sự dự trữ,sự để dành",n
1020,output,sự sản xuất,n
1021,shopping,sự mua sắm,n
1022,something,"pro một điều gì đó,một việc gì đó",n
1023,nowhere,"không nơi nào,không ở đâu",adv
1024,defeat,"đánh thắng,đánh bại",v
1025,defeat,"sự thất bại,sự tiêu tan",n
1026,wrongly,"một cách bất công,không đúng",adv
1027,clothes,quần áo,n
1028,arrive,"đến,tới nơi","+at, in"
1029,magic,"ma thuật,ảo thuật",n
1030,magic,"ma thuật,ảo thuật",adj
1031,section,"mục,phần",n
1032,honour,"danh dự,thanh danh",n
1033,important,"quan trọng,hệ trọng",adj
1034,analysis,sự phân tích,n
1035,attract,hút,v
1036,each other,"pro nhau,lẫn nhau",n
1037,level,"trình độ,cấp",n
1038,level,"bằng,ngang bằng",adj
1039,dinner,"bữa trưa,chiều",n
1040,strain,"sự căng thẳng,sự căng",n
1041,emphasize,"nhấn mạnh,làm nổi bật",v
1042,hardly,"khắc nghiệt,nghiêm khắc,tàn tệ",adv
1043,careless,"sơ suất,cầu thả",adj
1044,newspaper,báo,n
1045,insurance,sự bảo hiểm,n
1046,include,"bao gồm,tính cả",v
1047,hand,"tay,bàn tay",n
1048,hand,"trao tay,truyền cho",v
1049,cream,kem,n
1050,major,"lớn,nhiều hơn,trọng đại",adj
1051,law,luật,n
1052,bread,bánh mỳ,n
1053,entertain,"giải trí,tiếp đón",v
1054,oppose,"đối kháng,đối chọi",v
1055,implication,"sự lôi kéo,sự liên can",n
1056,watch,"đồng hồ,nhìn,theo dõi",v
1057,watch,"sự canh gác,sự canh phòng",n
1058,stiffly,"cứng,cứng rắn",adv
1059,least,pro tối thiểu,n
1060,least,ít nhất,adv
1061,also,"cũng,cũng vậy",adv
1062,fortune,"sự giàu có,sự thịnh vượng",n
1063,approving,"tán thành,đồng ý",adj
1064,damage,"mối hại,điều hại",n
1065,damage,"làm hư hại,làm hỏng",v
1066,edge,"lưỡi,cạnh sắc",n
1067,unimportant,"không quan trọng,không trọng đại",adj
1068,writer,người viết,n
1069,prince,hoàng tử,n
1070,hire,"thuê,cho thuê",v
1071,hire,"sự thuê,sự cho thuê",n
1072,anywhere,"bất cứ chỗ nào,bất cứ nơi đâu",adv
1073,role,"vai,vai trò",n
1074,respond,"hưởng ứng,phản ứng lại",v
1075,curiously,"tò mò,hiếu kỳ",adv
1076,dance,"sự nhảy múa,sự khiêu vũ",n
1077,dance,"nhảy múa,khiêu vũ",v
1078,ready,sẵn sàng,adj
1079,into,"vào,vào trong",prep
1080,instrument,dụng cụ âm nhạc khí,n
1081,suddenly,"thình lình,đột ngột",adv
1082,soil,đất trồng,n
1083,humorous,"hài hước,hóm hỉnh",adj
1084,memory,"bộ nhớ,trí nhớ",n
1085,thorough,"cẩn thận,kỹ lưỡng",adj
1086,achieve,"đạt được,dành được",v
1087,stream,dòng suối,n
1088,spider,con nhện,n
1089,recognition,"sự công nhận,sự thừa nhận",n
1090,relation,"mối quan hệ,sự liên quan",n
1091,ceiling,trần nhà,n
1092,arrange,"sắp xếp,sắp đặt",v
1093,return,"trở lại,trở về",v
1094,return,"sự trở lại,sự trở về",n
1095,during,"trong lúc,trong thời gian",prep
1096,unsuccessful,"không thành công,thất bại",adj
1097,foreign,"nước ngoài,từ nước ngoài",adj
1098,unique,độc nhất vô nhị,adj
1099,medicine,"y học,y khoa",n
1100,conduct,"điều khiển,chỉ đạo",v
1101,conduct,"sự điều khiển,chỉ huy",n
1102,aid,sự giúp đỡ,n
1103,aid,"thêm vào,phụ vào",v
1104,warn,"báo cho biết,cảnh báo",v
1105,labour,lao động,n
1106,there,"ở nơi đó,tại nơi đó",adv
1107,about,"khoảng,về",adv
1108,highlight,"làm nổi bật,nêu bật",v
1109,highlight,"chỗ nổi bật nhất,đẹp",n
1110,along,"dọc theo,theo",prep
1111,along,"theo chiều dài,suốt theo",adv
1112,powder,"bột,bụi",n
1113,state,"nhà nước,quốc gia",n
1114,state,"nhà nước,phát biểu",adj
1115,fire,lửa,n
1116,fire,đốt cháy,v
1117,nonsense,"lời nói vô lý,vô nghĩa",n
1118,sleep,ngủ,v
1119,sleep,giấc ngủ,n
1120,gradual,"dần dần,từng bước một",adj
1121,separate,"khác nhau,riêng biệt",adj
1122,separate,"làm rời,tách ra",v
1123,until,"trước khi,cho đến khi",conj
1124,content,"nội dung,sự hài lòng",n
1125,iron,sắt,n
1126,iron,bọc sắt,v
1127,smoke,"khói,hơi thuốc",n
1128,smoke,"hút thuốc,bốc khói",v
1129,substitute,"người,vật thay thế",n
1130,substitute,thay thế,v
1131,downwards,"xuống,đi xuống",adv
1132,timetable,"kế hoạch làm việc,thời gian biểu",n
1133,stranger,người lạ,n
1134,sentence,câu,n
1135,country,"nước,quốc gia",n
1136,progress,"sự tiến tới,sự tiến triển",n
1137,progress,"tiến bộ,tiến triển",v
1138,band,"băng,đai",n
1139,truly,"đúng sự thật,đích thực",adv
1140,advertising,"sự quảng cáo,nghề quảng cáo",n
1141,prime minister,thủ tướng,n
1142,cycling,sự đi xe đạp,n
1143,correct,"đúng,chính xác",adj
1144,correct,"sửa,sửa chữa",v
1145,comfort,"sự an ủi,khuyên giải,lời động viên",n
1146,controlled,"được điều khiển,được kiểm tra",adj
1147,pleasant,"vui vẻ,dễ thương",adj
1148,achievement,"thành tích,thành tựu",n
1149,add,"cộng,thêm vào",v
1150,give,"cho,biếu",v
1151,enable,"làm cho có thể,có khả năng",v
1152,loss,"sự mất,sự thua",n
1153,electronic,điện tử,adj
1154,crowded,đông đúc,adj
1155,impression,"ấn tượng,cảm giác",n
1156,slope,"dốc,đường dốc",n
1157,slope,"nghiêng,dốc",v
1158,lead,"lãnh đạo,dẫn dắt",v
1159,lead,"sự lãnh đạo,sự hướng dẫn",n
1160,though,"dù,dù cho",adv
1161,sailor,thủy thủ,n
1162,collect,"sưu tập,tập trung lại",v
1163,umbrella,"ô,dù",n
1164,motion,"sự chuyển động,sự di động",n
1165,recent,"gần đây,mới đây",adj
1166,possible,"có thể,có thể thực hiện",adj
1167,square,"vuông,vuông vắn",adj
1168,square,"dạng hình vuông,hình vuông",n
1169,obtain,"đạt được,giành được",v
1170,wire,dây,n
1171,write,viết writing,v
1172,tyre,"lốp,vỏ xe",n
1173,believe,"tin,tin tưởng",v
1174,accidentally,"tình cờ,ngẫu nhiên",adv
1175,angle,góc,n
1176,expense,chi phí,n
1177,breath,"hơi thở,hơi",n
1178,weakness,"tình trạng yếu đuối,yếu ớt",n
1179,murder,"tội giết người,tội ám sát",n
1180,murder,"giết người,ám sát",v
1181,accident,"tai nạn,rủi ro",n
1182,sideways,"ngang,từ một bên",adj
1183,sideways,sang bên,adv
1184,cousin,anh em họ,n
1185,demonstrate,"chứng minh,giải thích",v
1186,flow,sự chảy,n
1187,flow,chảy,v
1188,fear,"sự sợ hãi,e sợ",n
1189,fear,"sợ,lo ngại",v
1190,both,"cả hai",n
1191,ought to,"phải,nên",v
1192,honest,"lương thiện,trung thực",adj
1193,ambulance,"xe cứu thương,xe cấp cứu",n
1194,prefer,thích hơn,v
1195,remarkable,"đáng chú ý,đáng để ý",adj
1196,first,"thứ nhất,đầu tiên",adv
1197,first,"người,vật đầu tiên",n
1198,spoken,nói theo 1 cách nào đó,adj
1199,rapid,"nhanh,nhanh chóng",adj
1200,shy,"nhút nhát,e thẹn",adj
1201,somewhat,"đến mức độ nào đó,hơi",adv
1202,late,"trễ,muộn",adj
1203,commitment,"sự phạm tội,sự tận tụy",n
1204,education,"sự giáo dục,sự rèn luyện",n
1205,guard,"cái chắn,người bảo vệ",n
1206,guard,"bảo vệ,gác",v
1207,washing,"sự tắm rửa,sự giặt",n
1208,blade,"lưỡi (dao, kiếm)",n
1212,western,"về phía tây,của phía tây",adj
1213,resident,"người sinh sống,trú ngụ",n
1214,resident,"có nhà ở,cư trú",adj
1215,pile,"cọc,chồng,đống",n
1216,pile,"đóng cọc,chất chồng",v
1217,pants,"quần lót,đùi",n
1218,expert,chuyên gia,n
1219,expert,"chuyên môn,thành thạo",adj
1220,excitement,"sự kích thích,sự kích động",n
1221,base,"cơ sở,cơ bản",n
1222,base,"đặt tên,đặt cơ sở trên cái gì",v
1223,attitude,"thái độ,quan điểm",n
1224,artist,nghệ sĩ,n
1225,naturally,"vốn,tự nhiên",adv
1226,growth,"sự lớn lên,sự phát triển",n
1227,review,"sự xem lại,sự xét lại",n
1228,review,"làm lại,xem xét lại",v
1229,sufficiently,"đủ,thích đáng",adv
1230,element,"yếu tố,nguyên tố",n
1231,full,"đầy,đầy đủ",adj
1232,walk,"đi,đi bộ",v
1233,walk,"sự đi bộ,sự đi dạo",n
1234,uncomfortable,"bất tiện,không tiện lợi",adj
1235,exist,"tồn tại,sống",v
1236,attend,"dự,có mặt",v
1237,craft,"nghề,nghề thủ công",n
1238,ashamed,"ngượng,xấu hổ",adj
1239,rob,"cướp,lấy trộm",v
1240,relatively,"có liên quan,có quan hệ",adv
1241,counter,"quầy hàng,quầy thu tiền",n
1242,drawer,"người vẽ,người kéo",n
1243,introduction,"sự giới thiệu,lời giới thiệu",n
1244,session,"buổi họp,phiên họp,buổi",n
1245,uncontrolled,"không bị điều khiển,không bị kiểm tra",adj
1246,proceed,"tiến lên,theo đuổi",v
1247,flight,"sự bỏ chạy,rút chạy",n
1248,population,"dân cư,dân số",n
1249,careful,"cẩn thận,cẩn trọng",adj
1250,standard,"tiêu chuẩn,chuẩn",n
1251,standard,"làm tiêu chuẩn,phù hợp với tiêu chuẩn",adj
1252,meanwhile,"trong lúc đó,trong lúc ấy",adv
1253,facility,"điều kiện dễ dàng,sự dễ dàng",n
1254,quit,"thoát,thoát ra",v
1255,uncomfortable,"bất tiện,khó chịu",adj
1256,this,"pro cái này,điều này",n
1257,stand,"đứng,sự đứng",v
1258,sharp,"sắc,nhọn",adj
1259,trust,"niềm tin,sự phó thác",n
1260,trust,"tin,tin cậy",v
1261,restriction,"sự hạn chế,sự giới hạn",n
1262,receipt,công thức,n
1263,mark,"dấu,nhãn",n
1264,mark,"đánh dấu,ghi dấu",v
1265,specialist,"chuyên gia,chuyên viên",n
1266,supporter,vật chống đỡ,n
1267,drive,"lái,điều khiển",v
1268,drive,cuộc đua xe,n
1269,unknown,"không biết,không được nhận ra",adj
1270,connect,"kết nối,nối",v
1271,irritating,"làm phát cáu,chọc tức",adj
1272,terribly,"tồi tệ,không chịu nổi",adv
1273,story,"chuyện,câu chuyện",n
1274,campaign,"chiến dịch,cuộc vận động",n
1275,for,"cho,dành cho...",prep
1276,management,"sự quản lý,sự trông nom",n
1277,safety,"sự an toàn,sự chắc chăn",n
1278,tunnel,"đường hầm,hang",n
1279,fall,"rơi,ngã,sự rơi",v
1280,practically,về mặt thực hành,adv
1281,aircraft,"máy bay,tàu bay",n
1282,uncertain,"thiếu chính xác,không chắc chắn",adj
1283,interruption,"sự gián đoạn,sự ngắt lời",n
1284,alarm,"báo động,báo nguy",n
1285,uniform,đồng phục,n
1286,uniform,"đều,giống nhau",adj
1287,pay,"trả,thanh toán",v
1288,pay,tiền lương,n
1289,govern,"cai trị,thống trị",v
1290,manufacturer,"người chế tạo,người sản xuất",n
1292,marriage,"sự cưới xin,sự kết hôn",n
1293,visible,"hữu hình,thấy được",adj
1294,election,"sự bầu cử,cuộc tuyển cử",n
1295,frequently,thường xuyên,adv
1296,cure,"chữa trị,điều trị",v
1297,cure,"cách chữa bệnh,cách điều trị",n
1298,contain,"bao hàm,chứa đựng",v
1299,consider,"cân nhắc,xem xét",v
1300,driver,người lái xe,n
1301,profession,"nghề,nghề nghiệp",n
1302,bend,"chỗ rẽ,chỗ uốn",v
1303,bend,khuỷu tay,n
1304,need,"cần,đòi hỏi",v
1305,need,sự cần,n
1306,businessman,thương nhân,n
1307,event,"sự việc,sự kiện",n
1308,trouble,"điều lo lắng,điều muộn phiền",n
1309,limit,"giới hạn,ranh giới",n
1310,limit,"giới hạn,hạn chế",v
1311,afterwards,"sau này,về sau,rồi thì",adv
1312,obvious,"rõ ràng,rành mạch",adj
1313,doubt,"sự nghi ngờ,sự ngờ vực",n
1314,doubt,"nghi ngờ,ngờ vực",v
1315,observe,"quan sát,theo dõi",v
1316,closely,"gần gũi,thân mật,chặt chẽ",adv
1317,bury,"chôn cất,mai táng",v
1318,task,"nhiệm vụ,nghĩa vụ,bài tập",n
1319,disagree,"bất đồng,không đồng ý,khác",v
1320,plus,cộng với,adj
1321,plus,dấu cộng,conj
1322,plus,"cộng,thêm vào",v
1323,orange,quả cam,n
1324,orange,có màu da cam,adj
1325,sound,âm thanh,n
1326,sound,nghe,v
1327,test,"bài kiểm tra,sự thử nghiệm",n
1328,test,kiểm tra,v
1329,ultimate,"cuối cùng,sau cùng",adj
1330,heel,gót chân,n
1331,produce,"sản xuất,chế tạo",v
1332,proposal,"sự đề nghị,đề xuất",n
1333,select,"chọn lựa,chọn lọc",v
1334,rarely,"hiếm khi,ít khi",adv
1335,brilliant,"tỏa sáng,rực rỡ",adj
1336,tackle,"giải quyết,khắc phục",v
1337,tackle,"đồ dùng,dụng cụ",n
1338,talk,"nói chuyện,trò chuyện",v
1339,talk,"cuộc trò chuyện,cuộc thảo luận",n
1340,program,chương trình,n
1341,program,lên chương trình,v
1342,version,bản dịch sang một ngôn ngữ khác,n
1343,begin,"bắt đầu,khởi đầu",v
1344,pure,"nguyên chất,tinh khiết",adj
1345,excited,"bị kích thích,bị kích động",adj
1347,reduction,"sự giảm giá,sự hạ giá",n
1348,evil,"xấu,ác",adj
1349,evil,"điều xấu,điều ác",n
1350,insulting,"lăng mạ,xỉ nhục",adj
1351,witness,"sự làm chứng,bằng chứng",n
1352,witness,"chứng kiến,làm chứng",v
1353,treatment,"sự đối xử,sự đối đãi",n
1354,midnight,"nửa đêm,12h đêm",n
1355,belt,"dây lưng,thắt lưng",n
1356,rank,"hàng,dãy",n
1357,rank,"sắp xếp thành hàng,dãy",v
1358,beside,"bên cạnh,so với",prep
1359,top,"chóp,đỉnh",n
1360,top,"đứng đầu,trên hết",adj
1361,unfairly,"gian lận,không công bằng",adv
1362,detailed,"cặn kẽ,tỉ mỉ",adj
1363,fish,"cá,món cá",n
1364,fish,"câu cá,bắt cá",v
1365,adult,"người lớn,người trưởng thành",n
1366,adult,trưởng thành,adj
1367,license,"cấp chứng chỉ,cấp bằng",v
1368,mainly,"chính,chủ yếu",adv
1369,bitterly,"đắng,đắng cay",adv
1370,all right,"tốt,ổn",adj
1371,all right,được,adv
1372,mess,"tình trạng bừa bộn,tình trạng lộn xộn",n
1373,than,hơn,conj
1374,hatred,"lòng căm thì,sự căm ghét",n
1375,dump,đổ rác,v
1376,dump,"đống rác,nơi đổ rác",n
1377,television,vô tuyến truyền hình,n
1378,percent,phần trăm,n
1379,proper,"đúng,thích đáng",adj
1380,investigate,"điều tra,nghiên cứu",v
1381,desire,ước muốn,n
1382,desire,"thèm muốn,ao ước",v
1383,attention,sự chú ý,n
1384,garden,vườn,n
1385,register,"đăng ký,ghi vào sổ",v
1386,register,"sổ,sổ sách",n
1387,oddly,"kỳ quặc,kỳ cục",adv
1388,paint,"sơn,vôi màu",n
1389,paint,"sơn,quét sơn",v
1390,unkind,"không tốt,độc ác",adj
1391,lid,"nắp,vung",n
1393,express,"diễn tả,biểu lộ",v
1394,express,"nhanh,tốc hành",adj
1395,upset,"làm đổ,đánh đổ",v
1396,slight,"mỏng manh,thon",adj
1397,scared,"bị hoảng sợ,bị sợ hãi",adj
1398,whole,"bình an vô sự,không suy suyển",adj
1399,whole,"toàn bộ,tất cả",n
1400,restaurant,"nhà hàng ăn,hiệu ăn",n
1401,wonder,"ngạc nhiên,lấy làm lạ",v
1402,discussion,"sự thảo luận,sự tranh luận",n
1403,disaster,"tai họa,thảm họa",n
1404,structure,"kết cấu,cấu trúc",n
1405,preparation,"sự sửa soạn,sự chuẩn bị",n
1406,confront,"đối mặt,đối diện",v
1407,helpful,có ích,adj
